Junction,Left_Speed,Left_Comment,Right_Speed,Right_Comment,Date,Time,Day_of_Week,Stratum
J48-J47,51 mph,Unconfirmed Roadworks,48 mph,Unconfirmed Roadworks,20.07.24,05:30:07,Saturday,Off
J47-J46,50 mph,Unconfirmed Roadworks,50 mph,Unconfirmed Roadworks,20.07.24,05:30:07,Saturday,Off
J46-J45,52 mph,Unconfirmed Roadworks,63 mph,Unconfirmed Roadworks,20.07.24,05:30:07,Saturday,Off
J45-J43|44,57 mph,No comment,65 mph,No comment,20.07.24,05:30:27,Saturday,Off
J43|44-J42,62 mph,No comment,65 mph,No comment,20.07.24,05:30:47,Saturday,Off
J42-J41,66 mph,No comment,66 mph,No comment,20.07.24,05:31:07,Saturday,Off
J41-J40,66 mph,No comment,66 mph,No comment,20.07.24,05:31:27,Saturday,Off
J40-J39,67 mph,No comment,67 mph,No comment,20.07.24,05:31:47,Saturday,Off
J39-J38,70 mph,No comment,65 mph,No comment,20.07.24,05:32:07,Saturday,Off
J38-J37,70 mph,No comment,65 mph,Unconfirmed Roadworks,20.07.24,05:32:18,Saturday,Off
J37-J36,67 mph,No comment,66 mph,Unconfirmed Roadworks,20.07.24,05:32:28,Saturday,Off
J36-J35A,68 mph,Unconfirmed Roadworks,64 mph,No comment,20.07.24,05:32:38,Saturday,Off
J35A-J35,56 mph,No comment,51 mph,No comment,20.07.24,05:32:58,Saturday,Off
J35-J34,52 mph,Unconfirmed Roadworks,49 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:32:58,Saturday,Off
J34-J33,54 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:32:58,Saturday,Off
J33-J32,51 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",53 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:32:58,Saturday,Off
J32-J31,60 mph,Unconfirmed Roadworks,52 mph,Unconfirmed Roadworks,20.07.24,05:32:58,Saturday,Off
J31-J30,52 mph,No comment,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:33:08,Saturday,Off
J30-J29A,51 mph,Unconfirmed Roadworks,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:33:08,Saturday,Off
J29A-J29,52 mph,Unconfirmed Roadworks,52 mph,No comment,20.07.24,05:33:18,Saturday,Off
J29-J28,52 mph,Unconfirmed Roadworks,52 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:33:18,Saturday,Off
J28-J27,57 mph,Unconfirmed Roadworks,55 mph,No comment,20.07.24,05:33:28,Saturday,Off
J27-J26,59 mph,No comment,65 mph,No comment,20.07.24,05:33:48,Saturday,Off
J26-J25,64 mph,No comment,63 mph,No comment,20.07.24,05:34:08,Saturday,Off
J25-J24A,50 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",50 mph,No comment,20.07.24,05:34:18,Saturday,Off
J24A-J24,52 mph,Unconfirmed Roadworks,50 mph,No comment,20.07.24,05:34:29,Saturday,Off
J24-J23A,64 mph,No comment,60 mph,No comment,20.07.24,05:34:49,Saturday,Off
J23A-J23,69 mph,Unconfirmed Roadworks,69 mph,No comment,20.07.24,05:34:59,Saturday,Off
J23-J22,61 mph,No comment,70 mph,No comment,20.07.24,05:35:19,Saturday,Off
J22-J21A,60 mph,Unconfirmed Roadworks,70 mph,Unconfirmed Roadworks,20.07.24,05:35:19,Saturday,Off
J21A-J21,63 mph,No comment,67 mph,"Unconfirmed Roadworks, Unconfirmed Roadworks",20.07.24,05:35:29,Saturday,Off
